date,a2c,ddpg,td3,ppo,sac,mvo
2022-03-21,2121021.992999998,2308653.2059,2506875.22825,2613935.0511000003,2224866.5901,2169534.5093331784
2022-03-22,2149502.6929999976,2307625.0058999998,2511181.42825,2634772.6511000004,2224566.6128999996,2169841.993959452
2022-03-23,2140652.4929999975,2303168.0058999993,2505815.6282499996,2623038.7511,2219539.8129,2165708.687761808
2022-03-24,2146259.692999998,2300407.5058999998,2500255.72825,2615069.3511000006,2217451.9129,2159809.249950423
2022-03-27,2147045.2929999977,2303554.6059000003,2494194.72825,2613088.151100001,2218302.6129,2159897.365960554
2022-03-28,2147816.6929999976,2315571.0058999998,2511316.02825,2619815.7511000005,2225418.0128999995,2172562.6651258306
2022-03-29,2138734.4929999975,2311527.9059,2501164.02825,2610656.8511000006,2219655.7128999997,2166756.750095713
2022-03-30,2135571.292999998,2309742.9058999997,2494574.92825,2599484.8511000006,2215998.1129,2161818.1473154537
2022-03-31,2138907.892999998,2304150.3058999996,2503662.52825,2613111.9511000006,2221326.8129,2163692.9431556496
2022-04-03,2143594.2929999977,2287925.9059,2491478.92825,2611201.3511,2220259.0129,2151954.660183025
2022-04-04,2129573.592999998,2272389.9058999997,2454890.6282499996,2564236.2511000005,2200686.6128999996,2129775.5251672454
2022-04-05,2117368.6929999976,2269153.2058999995,2428464.52825,2528807.1511,2189484.9129,2118885.0352709917
2022-04-06,2109188.2929999977,2252491.9058999997,2430668.02825,2541663.6511000004,2182040.8129,2110924.8065841673
2022-04-07,2102886.892999998,2244600.7058999995,2419565.12825,2521410.8511000006,2183797.56735,2104245.164154906
2022-04-10,2116998.392999998,2251030.9058999997,2429444.6282499996,2549597.1511000004,2189836.7527499995,2112298.6274248566
2022-04-11,2115167.792999998,2245109.1059,2435001.62825,2566137.6511000004,2204035.45275,2112785.9518861
2022-04-12,2099311.492999998,2229618.5059,2415686.1282499996,2551973.5511000003,2191102.3527499996,2099342.1943816254
2022-04-13,2106866.492999998,2234751.7059,2409160.72825,2544707.051100001,2192221.0245,2105056.8773743086
2022-04-17,2095836.0929999973,2239739.7059000004,2402260.82825,2533597.9511,2190574.48645,2102794.201103441
2022-04-18,2074928.1929999979,2221276.9058999997,2377394.22825,2498422.8511000006,2185334.87895,2083330.277926656
2022-04-19,2091359.3929999976,2229793.4058999997,2384662.32825,2502608.5511000007,2184424.1789499996,2088332.4026997858
2022-04-20,2101716.692999998,2243978.7059,2394164.72825,2510488.2511000014,2188230.87895,2094895.131300056
2022-04-21,2112578.892999998,2263689.5059,2408258.82825,2517971.6511000004,2194928.5789499995,2107656.7869243715
2022-04-24,2110111.092999998,2265462.9058999997,2418291.9282500003,2534022.8511,2198688.87895,2113981.124737332
2022-04-25,2101870.892999998,2263461.1059,2410486.22825,2516062.6511000004,2198039.5789499995,2109062.8481217627
2022-04-26,2105561.0929999975,2271385.2058999995,2429800.02825,2534022.3511,2213966.37895,2118186.0121376757
2022-04-27,2103446.592999998,2278789.5058999998,2407236.72825,2497830.7511000005,2200870.2685999996,2113451.221788491
2022-04-28,2089445.0929999978,2271719.7059,2347682.72825,2396136.1511000004,2167060.0686,2085597.313338926
2022-05-05,2097138.6929999974,2261720.9059,2386107.62825,2451280.651100001,2194312.6686,2096879.2319810453
2022-05-08,2098906.892999998,2263309.0058999998,2390813.82825,2467966.6511000004,2193096.1686000004,2100526.8063803576
2022-05-09,2101681.992999998,2281678.7059,2393922.82825,2471093.0511000007,2200324.5686,2111225.9494657833
2022-05-10,2096746.8929999974,2278060.5059,2394580.12825,2468628.251100001,2196072.8686,2107898.993325261
2022-05-11,2086281.7929999977,2261792.3059,2380846.72825,2451972.751100001,2195263.8686,2095732.520529024
2022-05-12,2084578.6929999976,2259733.5058999998,2377277.92825,2449905.7511000005,2182537.8686,2090803.273602873
2022-05-16,2040761.1929999979,2228658.4058999997,2330402.42825,2391016.8511,2158595.6686,2056551.4050919872
2022-05-17,2030237.9929999975,2222171.8058999996,2330073.82825,2389694.2511000005,2155353.1686000004,2048937.0477748117
2022-05-18,2007869.4929999972,2214328.1059,2309431.42825,2370640.4511000006,2140304.5686,2036320.6116378559
2022-05-19,1994815.4929999975,2200452.1059,2304897.52825,2357718.2511000005,2131059.1686000004,2019619.975002974
2022-05-22,1959971.5929999975,2169584.3059,2259297.92825,2306543.351100001,2101474.6686,1982176.352036687
2022-05-23,1974326.3929999978,2174731.8059,2260793.32825,2301962.4511,2095524.8686,1992272.7547936137
2022-05-24,1971340.5929999975,2179468.5058999998,2267354.72825,2314151.651100001,2105516.2686,1996787.6225457373
2022-05-25,1973080.5929999975,2172764.3059,2259180.82825,2306272.5511000007,2093688.8686000002,1989943.721614475
2022-05-26,1986358.1929999976,2173425.1059,2265600.92825,2312741.8511000006,2087684.7686,1991217.1930343087
2022-05-29,2023538.8929999976,2216449.2059,2280867.52825,2325776.9511000006,2114320.5589,2022094.1981400927
2022-05-30,2033426.4929999975,2221665.0058999998,2279091.82825,2320605.9511000006,2123571.94915,2022969.1305785077
2022-05-31,2036532.5929999975,2214748.6059,2275208.02825,2315979.8511000006,2109802.7491499996,2016599.9818253086
2022-06-01,2048231.4929999977,2226794.4058999997,2283194.4282500003,2322651.0511000007,2113034.34915,2026631.0778552645
2022-06-02,2053702.1929999976,2222328.2058999995,2293128.22825,2346991.5511000003,2117466.44915,2030409.3064311491
2022-06-05,2065072.8929999974,2260928.7059,2358844.02825,2409851.4511,2149674.94915,2081378.9322377283
2022-06-06,2053115.0929999978,2262677.2059,2363368.92825,2410743.651100001,2150577.4491500002,2088563.3738129064
2022-06-07,2046462.2929999977,2248134.9058999997,2331332.52825,2374219.5511000007,2136785.44915,2071967.118776119
2022-06-08,2051543.2929999977,2271263.0058999998,2352684.12825,2397063.751100001,2159585.04915,2098435.126777538
2022-06-09,2054283.3929999978,2260159.3059,2357706.52825,2403148.9429000006,2153359.3491499997,2096415.558521673
2022-06-12,2041929.0929999975,2249062.9059,2346054.52825,2393135.728900001,2145962.34915,2085628.066273022
2022-06-13,2034042.492999998,2246031.2058999995,2324473.52825,2364376.828900001,2136477.14915,2079951.6571132664
2022-06-14,2022981.3929999976,2234762.9058999997,2310603.82825,2355753.7289000005,2124713.8491499997,2075335.659215627
2022-06-15,2023743.6929999974,2238387.8058999996,2300362.22825,2347258.128900001,2111508.14915,2073089.9410311743
2022-06-16,2051569.6929999976,2233573.6058999994,2326861.32825,2385336.5289000007,2129398.74915,2088177.0795137263
2022-06-19,2054606.9929999977,2230382.6059,2331862.12825,2398222.3289000005,2129477.8491499997,2092930.6050675157
2022-06-20,2040440.5929999975,2219420.5058999998,2306805.02825,2367970.1289000004,2115788.94915,2076913.212052132
2022-06-21,2030728.6929999976,2208702.6059,2296065.3282500003,2357494.528900001,2112121.4491500002,2071819.4070312623
2022-06-22,2032181.7929999977,2208642.3059,2297975.72825,2355024.028900001,2111031.3491499997,2066831.7624451148
2022-06-23,2041697.0929999975,2253472.0059,2306478.1282499996,2362670.2289000005,2152355.64915,2089831.0654132864
2022-06-26,2045881.5929999975,2245886.4058999997,2318633.52825,2382867.328900001,2163774.0491500003,2086828.4583587507
2022-06-27,2048655.3929999978,2231204.5059,2324208.9282500003,2390189.428900001,2149181.34915,2079136.346742116
2022-06-28,2041346.1929999976,2232119.4058999997,2327231.72825,2388062.5289000007,2145141.0491499994,2083753.9421672272
2022-06-29,2050042.1929999976,2229795.4058999997,2332238.62825,2387908.728900001,2142062.94915,2080973.676155754
2022-06-30,2056277.0929999978,2235991.9059,2344707.9282500003,2404274.4289000006,2147390.64915,2087190.270070273
2022-07-03,2046393.8929999976,2238210.7059,2317171.82825,2374854.628900001,2141075.84915,2082721.5858266982
2022-07-04,2044549.4929999975,2223392.8059,2323997.12825,2388029.428900001,2136807.64915,2078733.8014768278
2022-07-05,2041262.9929999975,2223134.4059,2303768.1282499996,2365626.0289000007,2124874.1491499995,2068011.7129237952
2022-07-06,2039526.0929999975,2215484.1058999994,2302583.62825,2367845.1289000013,2122011.8491499997,2063074.4122279785
2022-07-07,2040661.1929999974,2215814.2058999995,2314185.52825,2380756.4289000006,2127202.2491499996,2071936.075237784
2022-07-12,2031777.1929999976,2209857.6059,2314434.52825,2393189.8289000005,2125614.24915,2072480.905256467
2022-07-13,2031775.4929999977,2244859.0058999998,2325310.02825,2398361.3289000005,2150727.24915,2095133.236411921
2022-07-14,2038518.7929999975,2232705.7059,2331711.42825,2409614.828900001,2141584.5491499994,2088657.483480551
2022-07-17,2037942.1929999974,2227729.8059,2326522.52825,2402358.828900001,2146473.4491500002,2086348.0196509692
2022-07-18,2010622.3929999978,2202505.5058999993,2301155.72825,2368019.5289000007,2122154.3491499997,2064563.3918421322
2022-07-19,1999825.0929999975,2205723.3058999996,2295901.22825,2361623.228900001,2124500.24915,2070785.6259814464
2022-07-20,1999027.6929999976,2188650.7059,2292204.2282499997,2363570.2289,2107783.8491499997,2073250.9008626437
2022-07-21,1995953.2929999975,2204073.0059,2305738.22825,2382895.428900001,2121938.04915,2098625.9273448065
2022-07-24,1974448.0929999975,2178928.8059,2289782.4282500003,2368408.128900001,2103384.74915,2079730.5416280667
2022-07-25,1979034.3929999976,2174672.4058999997,2285628.22825,2358015.5289000007,2098285.64915,2072474.6205295837
2022-07-26,1991414.7929999975,2180017.2059,2297005.92825,2377827.3289000005,2106378.0491500003,2091754.187784152
2022-07-27,1978480.7929999973,2186290.1058999994,2286852.02825,2368296.5289000007,2113584.3491499997,2093776.2191943103
2022-07-28,1962653.0929999978,2154833.3059,2270417.42825,2359259.8289000005,2095341.6491500002,2068886.0822486249
2022-07-31,1991596.8929999978,2180517.2059,2321159.12825,2386914.5289000007,2143670.14915,2104642.3790884824
2022-08-01,1995798.0929999975,2184201.7059,2316606.82825,2392043.628900001,2137930.34915,2104821.4471706585
2022-08-02,2018747.7929999975,2199019.7059,2318119.62825,2394740.3289000015,2140253.4491500002,2108320.305086535
2022-08-03,2040859.7929999977,2233688.0059,2347614.02825,2430323.9289000006,2187525.74915,2137170.7687039524
2022-08-04,2045194.3929999976,2241499.2058999995,2334653.62825,2419778.328900001,2186690.3491499997,2150533.6268169098
2022-08-07,2045679.9929999975,2226985.3059,2342467.4282500003,2431546.128900001,2175585.24915,2143786.8684619656
2022-08-08,2035562.0929999975,2222494.3059,2329551.1282499996,2412996.428900001,2160126.5491499994,2128194.80388334
2022-08-10,2016019.0929999975,2221922.2058999995,2325621.7282499997,2407909.228900001,2164274.3491499997,2126439.966859675
2022-08-11,2007543.6929999974,2223895.5058999998,2327966.9282500003,2408740.6289000013,2166339.04915,2125316.7395356335
2022-08-14,2010067.7929999977,2222704.2058999995,2321623.9282500003,2393327.3289000005,2168548.14915,2126787.9184655985
2022-08-16,2027999.4929999977,2214518.1059000003,2336066.22825,2418387.328900001,2161286.14915,2122229.921210559
2022-08-17,2032096.7929999975,2221348.7058999995,2340934.52825,2420335.228900001,2167130.54915,2124973.8169371425
2022-08-21,2031567.2929999977,2216032.3059,2340990.1282499996,2414147.928900001,2166870.3491499997,2123907.248766727
2022-08-22,2041363.6929999976,2225640.1059000003,2339747.02825,2415521.828900001,2169865.7491499996,2129044.8105333718
2022-08-23,2049562.5929999978,2232734.4059,2337938.32825,2413863.1289000004,2171945.74915,2134492.6144773774
2022-08-24,2049318.2929999977,2225386.1059000003,2324270.92825,2391568.228900001,2162309.04915,2124334.5404062504
2022-08-25,2066914.9929999977,2226082.3059000005,2331651.82825,2401744.9289000006,2163094.6491500004,2127340.1607873063
2022-08-28,2067064.6929999976,2229852.9059,2333766.9282500003,2403149.628900001,2166070.74915,2128165.826424279
2022-08-29,2082624.0929999973,2243350.7059,2341250.52825,2410087.128900001,2170747.04915,2140075.215064115
2022-08-30,2105186.7929999977,2254870.5058999998,2352052.82825,2428918.4289000006,2186688.3491499997,2146633.1746501992
2022-08-31,2097933.0929999975,2264532.2059,2357417.72825,2433503.628900001,2187633.94915,2148243.8961476935
2022-09-01,2135367.392999998,2276931.2059,2380732.12825,2471475.228900001,2208086.3491499997,2166102.123250205
2022-09-04,2127511.092999998,2270894.6059,2393495.72825,2481053.3289000015,2212155.54915,2171773.0840187026
2022-09-05,2105386.892999998,2257364.5058999998,2382369.72825,2470531.628900001,2201755.4491500002,2162783.994058341
2022-09-06,2113439.692999998,2262600.3059,2359997.72825,2435651.9289000006,2192019.84915,2153298.1601101076
2022-09-07,2142213.8929999983,2270158.1059000003,2394127.02825,2474493.4289000006,2206152.94915,2165369.5732512604
2022-09-08,2137050.392999998,2272212.1059000003,2385975.02825,2458219.8289000005,2197468.44915,2158882.1367534176
2022-09-11,2137358.7929999977,2263099.1059,2378040.22825,2462190.328900001,2190774.34915,2152472.506372295
2022-09-12,2140171.9929999975,2272593.1059,2384111.72825,2470294.228900001,2199899.8491499997,2160897.500594898
2022-09-13,2141379.9929999975,2265603.4059,2375944.72825,2448261.0289000007,2191525.34915,2155307.979722182
2022-09-14,2120296.4929999975,2256358.3059,2386236.52825,2447247.9289000006,2201982.44915,2157117.8480653632
2022-09-15,2116447.892999998,2256756.8059,2383547.9282500003,2435937.328900001,2198970.84915,2153398.0041585476
