,a2c,ddpg,td3,ppo,sac,mvo
2022-01-19,3319209.35014284,2524111.233445221,2548710.268061203,2391501.3697576127,2668028.8994347174,2483960.956762895
2022-01-20,3303368.541259173,2507969.742203766,2497455.120996994,2350950.166110518,2612088.8571983892,2443564.762414622
2022-01-21,3206493.028655413,2503409.0902567445,2504955.7871346893,2329882.0726301637,2606084.5598045904,2431157.6769943284
2022-01-24,3054807.3612970146,2441320.451767975,2444721.703547043,2276666.282826941,2547188.3898216803,2357389.7300994177
2022-01-25,3042316.3419030937,2505343.4481058656,2469426.043024582,2300241.190057898,2544488.0563255865,2362699.2716331617
2022-01-27,2957744.946120623,2503967.2865152895,2432410.2979073944,2280007.049192984,2471904.0334526617,2306544.5400663554
2022-01-28,2922230.08212221,2473391.5948954164,2432085.671427292,2277969.861409354,2493186.509923609,2308311.625399071
2022-01-31,3017078.1732934746,2505105.9013834535,2473223.6107583465,2314874.445530081,2534896.90733877,2339574.311132404
2022-02-01,3080714.4283746514,2531741.669510895,2500635.346170944,2349159.205641867,2568771.3437401373,2381423.0769448453
2022-02-02,3068550.5538171562,2537275.527787262,2518805.1681771697,2368360.545086913,2602311.1607262213,2425755.0666027996
2022-02-03,3029925.7940515312,2526977.119156891,2508951.315790695,2349874.8022428425,2575301.326985987,2412968.826513897
2022-02-04,3025000.202910784,2521879.2288675844,2500632.558847946,2353733.3603576417,2566253.534673365,2418167.303567261
2022-02-07,2992961.5353540215,2488317.5889444887,2466942.190455002,2306032.8481648318,2539944.5645042975,2371582.2791000362
2022-02-08,2995227.5034326348,2505470.8377237855,2459094.265894455,2306510.364050757,2528776.0797020514,2382231.803934729
2022-02-09,3040764.3914788994,2559200.4356546937,2491893.240274948,2335070.89665557,2545829.6699577887,2412424.566228361
2022-02-10,3061308.651641253,2555744.4200602113,2505625.6241555633,2352421.739449042,2555590.789724024,2422266.947387481
2022-02-11,2994925.4133905205,2520308.4439859926,2468152.6962075653,2329009.781522887,2509641.6158653814,2388138.803218284
2022-02-14,2917964.2678521904,2443689.0166788637,2430018.201654953,2273168.2305234973,2509616.231343897,2354794.3867221773
2022-02-15,3023867.704818133,2518630.8143473207,2500950.8005166473,2335303.0973833757,2574795.031484278,2417121.9950354993
2022-02-16,3023352.24479616,2512068.9546976625,2495533.87633757,2343731.3737772354,2571742.567708643,2426387.387233486
2022-02-17,3032475.2396386894,2509609.86576944,2495371.1184335174,2345661.037061537,2560896.528661402,2422151.623273912
2022-02-18,3019192.145064715,2506091.0867777406,2498305.9246316375,2341496.293538893,2560289.6674248297,2418280.5161606804
2022-02-21,2976099.5456994805,2500811.013260895,2468030.568399948,2323149.174993361,2525288.862294825,2392255.3650527294
2022-02-22,2963317.1923822197,2493162.414719635,2434129.602182907,2312554.8980921158,2456294.863881739,2362201.424202829
2022-02-23,2974016.540603045,2502422.2056437074,2427039.266672653,2294780.0505884537,2444733.5251366217,2365012.256358113
2022-02-24,2829846.773047808,2390891.1734476625,2324868.78196196,2202733.2345484146,2332210.733007105,2256393.1080687437
2022-02-25,2924402.93998659,2436453.547898346,2378101.429071945,2247121.2741172016,2403030.072347315,2316129.6317015924
2022-02-28,2991744.457335833,2456623.9351664125,2401060.621347946,2272371.3825995624,2428244.7065178473,2339115.9959037956
2022-03-02,2993732.867797259,2407521.3648539125,2371273.356089157,2239307.9291693866,2423017.9664208014,2316373.4230478033
2022-03-03,3021083.364455584,2376831.0606852113,2357552.3147378387,2229057.5447517456,2421258.370107325,2304270.3962274403
2022-03-04,2997779.191863421,2307588.7209024965,2328804.4880013885,2191882.83641239,2407710.6356360726,2259169.2833233266
2022-03-07,2943688.580901507,2232878.812943512,2302695.489908737,2176619.6035622926,2376951.3530928213,2221366.971226457
2022-03-08,2976893.1625055107,2246059.806809479,2341761.301981491,2194942.2471489627,2441689.1230194345,2247327.555272111
2022-03-09,3058637.6345361504,2297978.5496683656,2375915.75272612,2225820.273989142,2477051.0753509775,2289556.985426416
2022-03-10,3063622.2542566094,2343520.314316803,2412177.2404427947,2262976.9750709976,2477627.117205836,2327800.655604268
2022-03-11,3071868.1336053642,2338899.813248688,2406673.873301071,2265402.474440871,2469052.3063995615,2337556.6970615108
2022-03-14,3106466.7714074883,2379550.772385651,2424224.3726754608,2292187.3214288317,2502756.5551483408,2358464.9178174785
2022-03-15,3045247.230849627,2375330.9078226625,2390124.582071823,2264845.0427552937,2462798.791018702,2338103.35901788
2022-03-16,3101884.5838159355,2407365.077866608,2443497.9134164276,2305308.9462399124,2506925.8571655527,2371959.960944153
2022-03-17,3153911.248626116,2456156.3061991273,2466228.791651291,2345620.1913265823,2523717.5458404794,2421788.5015362096
2022-03-21,3136606.6745294365,2442878.9462442934,2433798.962351364,2322384.821812117,2498506.547320582,2395384.166566269
2022-03-22,3214425.562651995,2457248.6304178773,2464550.651804489,2346519.394718611,2549339.1579620615,2400414.7172164586
2022-03-23,3215294.5563958916,2437311.7156839906,2458091.2280221405,2342596.057873213,2556522.595584132,2401081.4522658107
2022-03-24,3235433.683898333,2425670.421616608,2469169.281427902,2339694.749935591,2585153.877841212,2384428.2568757166
2022-03-25,3172218.760085467,2389818.343827301,2460569.224726242,2332227.2433895706,2564566.3515960947,2353120.6464827014
2022-03-28,3177485.751311663,2403656.3776407777,2470358.300165695,2333458.7956265705,2565816.0126983896,2352523.076925761
2022-03-29,3177862.6325677666,2407809.6058207094,2472854.4626717987,2345107.473101546,2567033.1113617197,2371746.1682042275
2022-03-30,3149365.11576784,2427199.035172516,2470448.0381875457,2350524.3338574665,2587592.8653442636,2383018.806633994
2022-03-31,3145722.177672747,2423658.4307413637,2469643.8103433074,2336052.4889477985,2584337.170016505,2378802.858474496
2022-04-01,3136940.691420916,2445075.742997223,2494019.979364914,2365548.9149808185,2597808.047457911,2392066.625033959
2022-04-04,3159942.820250872,2467380.433884674,2516630.4741921844,2416210.3613995807,2603835.9574920908,2443776.96535833
2022-04-05,3160231.6131738457,2467314.4138956605,2532741.5844216766,2414450.1452588337,2618576.479022242,2449572.3017713567
2022-04-06,3127785.373000506,2461339.7678385316,2510910.1825051727,2399072.7114514606,2583128.744662501,2421264.828319537
2022-04-07,3101473.2535852226,2437280.162278229,2499327.416925949,2381846.639925887,2538647.908847071,2399999.370781321
2022-04-08,3107776.5061334404,2439731.4577189027,2504777.734629196,2394062.83179753,2548863.293353297,2421918.367439195
2022-04-11,3096196.657500628,2425279.5638590395,2491096.6823068084,2364165.732653548,2544332.454058863,2404422.662073779
2022-04-12,3040494.3135675224,2411905.487565094,2454525.460474533,2334340.155498183,2529859.4110748544,2394490.7082291516
2022-04-13,3031345.476012591,2396159.1517496645,2451278.8401437225,2337635.9301042007,2514453.527270533,2383371.2971638
2022-04-18,2966523.1187433037,2391258.4148417055,2408556.6287637176,2311662.829702941,2429841.8360473886,2364806.374440409
2022-04-19,2909256.4122461113,2352179.4561625062,2358544.2923837127,2276529.409487448,2404164.518161036,2310160.2887455057
2022-04-20,2935507.25979555,2392302.2829142152,2400907.0854440155,2293714.714794608,2460494.2137329355,2348827.1568193045
2022-04-21,2963842.382689837,2429085.4463053285,2423540.1108498992,2313767.440218062,2507795.5750458017,2387007.132873718
2022-04-22,2942500.5132898125,2406491.079239899,2384845.8585305633,2287553.106980132,2490668.9128753915,2361122.3862477215
2022-04-25,2871152.454802874,2380815.8599711,2355035.2599282684,2263012.3242119583,2445011.052294947,2325596.33878911
2022-04-26,2922242.2520898613,2412427.396927887,2400803.038462204,2310478.025035094,2457329.0671722665,2368662.8790723835
2022-04-27,2885546.9114526543,2381527.0780191957,2397226.880320114,2299138.1667658105,2457846.9012481943,2354359.595520004
2022-04-28,2913350.7902520928,2416666.4273539125,2418425.8731332244,2315846.856052756,2479458.6980926767,2387438.352855204
2022-04-29,2874826.1547693047,2376264.6475382387,2387714.7523293914,2278219.1756212907,2452904.977069117,2364616.628085088
2022-05-02,2825973.7919839653,2349848.6811991273,2362211.8540139617,2257861.0812133625,2443737.792102076,2350207.4357937984
2022-05-04,2754215.3506158623,2286183.4513102113,2306609.696161789,2203682.556669047,2398588.9155456796,2282120.5606284193
2022-05-05,2797030.176146868,2287386.036484772,2332683.2010293426,2212424.3916153056,2415576.2622558847,2285548.5246984675
2022-05-06,2803683.4653314385,2250985.7102518617,2304974.966990036,2172868.825944327,2365544.293338038,2235014.7431568243
2022-05-09,2749490.599334124,2242181.3922892152,2306994.3506417694,2174399.043344954,2360687.1152069345,2234119.507370658
2022-05-10,2698922.247130755,2247177.5258036195,2307373.118952316,2164183.3468176103,2348781.314746119,2240870.656142457
2022-05-11,2667394.0757135185,2225228.1404581605,2294419.4027047576,2157318.842675444,2327653.1916534677,2228029.585685006
2022-05-12,2616164.6785369744,2179665.039231354,2271158.062052292,2119029.7250821902,2317900.491046168,2194784.628963815
2022-05-13,2616260.7480231803,2170096.3188639223,2288118.2966714324,2123189.768078211,2323988.6230804697,2215134.1704078955
2022-05-16,2610309.4322379325,2188166.77113443,2293627.120630783,2129586.3815044197,2302700.2448913828,2215797.665101301
2022-05-17,2674512.070305155,2254784.8657389223,2340498.956873459,2188141.793888453,2360253.1000702158,2263523.058314275
2022-05-18,2642843.1745020547,2255850.762742096,2347585.220102829,2187636.2192729744,2358052.767810084,2270604.178766325
2022-05-19,2541160.4277252713,2198912.6609354555,2263019.687983078,2128348.539463404,2245832.778949,2199021.544867798
