,a2c,ddpg,td3,ppo,sac,mvo
2023-01-13,2388367.540719996,2601998.379030001,2333504.30148,1801790.4161150027,3034921.227725001,2957960.661715707
2023-01-14,2388357.4907199964,2601989.669030001,2333264.34148,1801842.7908400032,3034797.2677250006,2957779.436599134
2023-01-17,2382608.6607199963,2592141.779030001,2318046.86148,1779115.4155600031,3036457.347725001,2944679.6408193833
2023-01-18,2337852.9507199964,2534513.339030001,2270788.10148,1740477.3161000027,2974933.0377250006,2904524.5552860484
2023-01-19,2274548.460719996,2494668.849030001,2226676.38148,1716010.6403400027,2909645.2877250016,2859793.091948
2023-01-20,2324028.6407199968,2568860.8890300007,2269124.98148,1757902.8551250028,2986596.937725001,2917289.7502431036
2023-01-21,2324281.7107199966,2569297.419030001,2269070.02148,1758145.5790000027,2986958.457725001,2917927.851184956
2023-01-23,2370888.1307199965,2614636.9690300007,2314383.0214799996,1788340.228175003,3031833.337725002,2995778.936153047
2023-01-24,2377267.1407199963,2597736.3890300007,2316859.0614799997,1762528.9432000027,3021292.087725001,2971863.0588268666
2023-01-25,2382245.950719997,2600284.589030001,2330554.94148,1764005.8177850025,3020011.5977250007,2977211.027418156
2023-01-26,2391207.180719997,2623099.8190300004,2343747.34148,1783828.561640002,3063969.287725001,3000939.7651031865
2023-01-27,2442240.4107199963,2682205.9290300007,2378802.66148,1781161.6059750027,3077425.9077250008,3027588.2666844963
2023-01-28,2441971.2607199964,2681806.9690300003,2378758.98148,1781011.7473950025,3076929.977725001,3027345.0672987076
2023-01-30,2389200.5607199958,2639837.4490300007,2346547.22148,1758507.8488750027,3008524.407725001,2955418.939407381
2023-01-31,2404109.3207199965,2680769.609030001,2378139.7814800004,1783423.5775900027,3056595.1177250016,3010623.448973085
2023-02-01,2447476.050719996,2710530.6190300006,2403302.26148,1790258.785740003,3099303.4977250015,3107590.976996443
2023-02-02,2521822.0307199964,2786631.829030001,2427836.10148,1834764.6633950027,3174498.5277250013,3201761.6267779823
2023-02-03,2449528.4107199963,2776669.779030001,2415953.8614800004,1799497.004745003,3133489.047725002,3140739.609714715
2023-02-04,2450197.480719996,2776954.9290300007,2416477.86148,1800109.9818100028,3134354.127725001,3141738.490635163
2023-02-06,2440614.770719996,2746216.4490300007,2395552.50148,1779146.2686800028,3116694.5277250013,3097654.2553738533
2023-02-07,2443659.5807199967,2796101.319030001,2428841.7814800004,1796070.6555450028,3185104.5477250014,3141595.9782618927
2023-02-08,2421294.4407199966,2768489.1390300007,2409001.1414799998,1771447.1628800028,3160215.9877250013,3104544.8614239586
2023-02-09,2381732.5607199967,2735615.419030001,2383002.18148,1749101.2088500026,3123818.047725001,3062259.91361514
2023-02-10,2391399.6807199963,2738014.879030001,2383578.1814800003,1751950.3382250029,3123295.7377250013,3050676.145516117
2023-02-11,2390897.4307199963,2737992.3590300004,2383752.86148,1752129.0327500026,3123589.4277250012,3050870.934553843
2023-02-13,2434475.9907199964,2788952.4290300007,2413972.34148,1780406.827210003,3182280.637725001,3097488.727789092
2023-02-14,2447492.230719996,2785966.299030001,2422691.1014799997,1775997.981165003,3179416.7577250013,3118636.2513889843
2023-02-15,2474906.0507199964,2788324.4690300003,2421535.8214800004,1788260.0204600028,3159702.5477250014,3121633.8114801547
2023-02-16,2444185.4107199963,2740788.549030001,2380271.38148,1761422.8040950028,3102638.367725001,3042373.935596318
2023-02-17,2419371.4307199963,2722216.0590300006,2375981.2614800003,1743074.141030003,3081521.3377250014,3024575.25726276
2023-02-18,2419215.430719997,2722495.6190300006,2376023.62148,1743365.2333300028,3081852.417725001,3024911.4431887865
2023-02-21,2373384.000719996,2648722.2890300006,2321259.02148,1690333.717085003,3010833.367725002,2951521.9665845856
2023-02-22,2392416.2407199964,2642343.8990300004,2325620.98148,1693752.1812900023,3006555.417725001,2960157.712073228
2023-02-23,2392250.1407199963,2650255.899030001,2339752.62148,1694003.215960003,3022235.767725001,2990825.3757857494
2023-02-24,2386972.5707199965,2626602.189030001,2311824.22148,1674672.5803150025,2994787.7577250013,2932784.0977379964
2023-02-25,2386909.8507199963,2626386.6590300007,2311824.86148,1674427.5462750029,2994232.8577250014,2932409.6533616725
2023-02-27,2397121.300719996,2636715.1890300005,2319215.5814799997,1679010.4799200029,3007633.777725001,2948070.9696823508
2023-02-28,2420402.840719997,2642207.529030001,2326705.78148,1684149.723180003,3011925.4677250013,2942536.3920231494
