,date,account_value
583,2021-04-27,3261950.9966649967
584,2021-04-28,3233715.8664649967
585,2021-04-29,3251326.7664649966
586,2021-04-30,3225925.758769996
587,2021-05-03,3270049.992584997
588,2021-05-04,3219190.9795549954
589,2021-05-05,3237131.735874997
590,2021-05-06,3261753.336824997
591,2021-05-07,3273829.7062149965
592,2021-05-10,3268931.5813899967
593,2021-05-11,3214749.282254996
594,2021-05-12,3160740.714089996
595,2021-05-13,3202725.069874997
596,2021-05-14,3265969.333434996
597,2021-05-17,3258981.1273249965
598,2021-05-18,3212373.697174996
599,2021-05-19,3224035.7007599967
600,2021-05-20,3225385.5410599965
601,2021-05-21,3252346.681919997
602,2021-05-24,3241211.243059996
603,2021-05-25,3228773.352669996
604,2021-05-26,3267653.092279997
605,2021-05-27,3396747.7522799964
606,2021-05-28,3365121.3122799965
607,2021-06-01,3378004.212279996
608,2021-06-02,3378064.332279997
609,2021-06-03,3366051.3422799967
610,2021-06-04,3361149.7422799966
611,2021-06-07,3351852.3422799967
612,2021-06-08,3364936.7322799964
613,2021-06-09,3333838.0822799965
614,2021-06-10,3319494.732279997
615,2021-06-11,3335174.5922799967
616,2021-06-14,3304122.7022799966
617,2021-06-15,3325277.0922799963
618,2021-06-16,3321584.3822799963
619,2021-06-17,3250416.2622799966
620,2021-06-18,3201626.3322799965
621,2021-06-21,3275472.9122799966
622,2021-06-22,3265930.2122799964
623,2021-06-23,3259363.102279996
624,2021-06-24,3279062.832279997
625,2021-06-25,3285522.752279997
626,2021-06-28,3254820.5722799967
627,2021-06-29,3280259.602279996
628,2021-06-30,3328183.902279997
629,2021-07-01,3338721.562279997
630,2021-07-02,3348937.7422799966
631,2021-07-06,3309509.052279997
632,2021-07-07,3322450.312279997
633,2021-07-08,3287804.8422799967
634,2021-07-09,3355786.8998499964
635,2021-07-12,3372225.039849996
636,2021-07-13,3313835.5598499966
637,2021-07-14,3296521.2198499963
638,2021-07-15,3288716.5498499963
639,2021-07-16,3237606.4898499963
640,2021-07-19,3131050.0698499964
641,2021-07-20,3256999.2398499963
642,2021-07-21,3325092.6198499966
643,2021-07-22,3272695.739849996
644,2021-07-23,3284905.389849996
645,2021-07-26,3318806.8198499964
646,2021-07-27,3317144.0198499965
647,2021-07-28,3321462.9698499967
648,2021-07-29,3344965.3398499964
649,2021-07-30,3251368.1398499967
650,2021-08-02,3209570.599849996
651,2021-08-03,3273688.579849996
